"ingestion_system","shop_count","total_offers","date"
"Legacy Agent","4136","62004765","2023-06-01"
"Legacy Scraper","5800","16399262","2023-06-01"
"Feed Ingestion System (FIS)","1659","143095843","2023-06-01"
"Legacy Monza Agent","2","11454991","2023-06-01"
"Legacy Agent","4135","62823478","2023-06-02"
"Legacy Scraper","5800","16521676","2023-06-02"
"Feed Ingestion System (FIS)","1660","143542777","2023-06-02"
"Legacy Monza Agent","2","11526779","2023-06-02"
"Legacy Agent","4133","61820112","2023-06-03"
"Legacy Scraper","5800","16707408","2023-06-03"
"Feed Ingestion System (FIS)","1661","144448411","2023-06-03"
"Legacy Monza Agent","2","11552921","2023-06-03"
"Legacy Agent","4133","62495659","2023-06-04"
"Legacy Scraper","5800","16656415","2023-06-04"
"Feed Ingestion System (FIS)","1661","144971858","2023-06-04"
"Legacy Monza Agent","2","11718704","2023-06-04"
"Legacy Agent","4133","61601721","2023-06-05"
"Legacy Scraper","5800","16610076","2023-06-05"
"Feed Ingestion System (FIS)","1661","146592711","2023-06-05"
"Legacy Monza Agent","2","11784386","2023-06-05"
"Legacy Agent","4133","62448253","2023-06-06"
"Legacy Scraper","5800","16738421","2023-06-06"
"Feed Ingestion System (FIS)","1660","147614889","2023-06-06"
"Legacy Monza Agent","2","10650408","2023-06-06"
"Legacy Agent","4127","63183044","2023-06-07"
"Legacy Scraper","5796","16858199","2023-06-07"
"Feed Ingestion System (FIS)","1660","140571879","2023-06-07"
"Legacy Monza Agent","2","10856261","2023-06-07"
"Legacy Agent","4124","63003657","2023-06-08"
"Legacy Scraper","5796","16717903","2023-06-08"
"Feed Ingestion System (FIS)","1662","142236351","2023-06-08"
"Legacy Monza Agent","2","11031945","2023-06-08"
"Legacy Agent","4125","62843639","2023-06-09"
"Legacy Scraper","5793","16773958","2023-06-09"
"Feed Ingestion System (FIS)","1665","142542528","2023-06-09"
"Legacy Monza Agent","2","11141516","2023-06-09"
"Legacy Agent","4126","63469785","2023-06-10"
"Legacy Scraper","5792","16830812","2023-06-10"
"Feed Ingestion System (FIS)","1665","144688680","2023-06-10"
"Legacy Monza Agent","2","11181644","2023-06-10"
"Legacy Agent","4126","61305556","2023-06-11"
"Legacy Scraper","5792","17076661","2023-06-11"
"Feed Ingestion System (FIS)","1665","146878512","2023-06-11"
"Legacy Monza Agent","2","11266422","2023-06-11"
"Legacy Agent","4126","63830517","2023-06-12"
"Legacy Scraper","5792","17424889","2023-06-12"
"Feed Ingestion System (FIS)","1665","149641564","2023-06-12"
"Legacy Monza Agent","2","11323882","2023-06-12"
"Legacy Agent","4120","64161594","2023-06-13"
"Legacy Scraper","5792","17484370","2023-06-13"
"Feed Ingestion System (FIS)","1667","152079780","2023-06-13"
"Legacy Monza Agent","2","11203734","2023-06-13"
"Legacy Agent","4120","64341547","2023-06-14"
"Legacy Scraper","5790","17840314","2023-06-14"
"Feed Ingestion System (FIS)","1668","147471832","2023-06-14"
"Legacy Monza Agent","2","11297912","2023-06-14"
"Legacy Agent","4121","64511148","2023-06-15"
"Legacy Scraper","5790","17951976","2023-06-15"
"Feed Ingestion System (FIS)","1668","147705850","2023-06-15"
"Legacy Monza Agent","2","11359259","2023-06-15"
"Legacy Agent","4118","65243631","2023-06-16"
"Legacy Scraper","5789","18161899","2023-06-16"
"Feed Ingestion System (FIS)","1670","149781824","2023-06-16"
"Legacy Monza Agent","2","11449395","2023-06-16"
